,Mun,UF,Atingido_Alagamentos,Atingido_Des,Atingido_Enchente,Atingido_Enxurrada,Nao_ATV_P&DC,Nao_Instr_Inundacao,Nao_Medida_Estrutural_RRD,Nao_RR_Seca,Nao_Red_Des,Nao_Red_Enchente,Nao_Red_Enxurrada,Tem_Instr_Deslizamento,Tem_Red_Des
0,Alta Floresta DOeste,RO,0,0,1,0,1,0,0,0,0,0,0,0,0
1,Ariquemes,RO,1,0,1,1,0,0,0,0,0,0,1,1,1
2,Cabixi,RO,0,1,1,1,0,1,0,0,1,1,1,0,0
3,Cacoal,RO,1,0,1,0,0,0,0,0,0,0,0,0,0
4,Cerejeiras,RO,0,0,0,0,0,1,1,0,0,0,0,0,0
5,Colorado do Oeste,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Corumbiara,RO,1,0,1,1,0,1,0,0,0,0,0,0,0
7,Costa Marques,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Espigão DOeste,RO,0,0,0,0,1,1,0,0,0,0,0,0,0
9,Guajará-Mirim,RO,1,0,1,0,0,0,0,0,0,1,0,0,0
10,Jaru,RO,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Ji-Paraná,RO,1,0,1,0,0,0,0,0,0,1,0,0,0
12,Machadinho DOeste,RO,0,0,0,0,1,0,1,0,0,0,0,0,0
13,Nova Brasilândia DOeste,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ouro Preto do Oeste,RO,1,1,1,1,0,0,0,0,0,0,0,1,1
15,Pimenta Bueno,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Porto Velho,RO,1,1,1,1,0,0,0,0,0,1,0,1,1
17,Presidente Médici,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Rio Crespo,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Rolim de Moura,RO,1,0,1,0,0,1,1,0,0,1,0,1,1
20,Santa Luzia DOeste,RO,0,0,0,0,1,1,0,0,0,0,0,0,0
21,Vilhena,RO,0,0,0,0,1,0,1,0,0,0,0,1,1
22,São Miguel do Guaporé,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
23,Nova Mamoré,RO,1,0,1,1,0,0,0,0,0,0,0,1,0
24,Alvorada DOeste,RO,0,0,0,0,0,1,0,0,0,0,0,1,1
25,Alto Alegre dos Parecis,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Alto Paraíso,RO,0,0,0,0,0,1,0,0,0,0,0,1,1
27,Buritis,RO,1,0,1,1,0,0,0,0,0,0,0,1,1
28,Novo Horizonte do Oeste,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Cacaulândia,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
30,Campo Novo de Rondônia,RO,1,0,1,0,1,0,0,0,0,0,0,0,0
31,Candeias do Jamari,RO,0,0,1,0,1,1,0,0,0,1,0,0,0
32,Castanheiras,RO,0,0,0,0,1,1,0,0,0,0,0,0,0
33,Chupinguaia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cujubim,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Governador Jorge Teixeira,RO,1,0,1,1,0,0,0,0,0,0,0,1,1
36,Itapuã do Oeste,RO,0,0,0,0,0,0,0,0,0,0,0,1,1
37,Ministro Andreazza,RO,0,0,0,0,0,1,0,0,0,0,0,1,1
38,Mirante da Serra,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
39,Monte Negro,RO,1,0,1,1,0,1,0,0,0,1,1,0,0
40,Nova União,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
41,Parecis,RO,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Pimenteiras do Oeste,RO,1,0,0,1,0,1,0,0,0,0,1,0,0
